exercise_id,question_guid,rating,topic,difficulty,average_result,questions_in_exercise,exercise_id_int,answer_count
ovs17.r1.i2.n01,2d65fd399e86365870c2be87,30,3,3,0.975,1,1971,160
vs20.kv.i3.n35,d328cc0f0759926998f86aed,3,13,4,0.9775,5,10777,150
vs20.kv.i3.n35,19a9885d84559b851654910b,3,13,4,0.743288590604,5,10777,149
vs20.kv.i3.n35,08f8442698591b37711baf9f,3,13,4,0.620689655172,5,10777,145
vs20.kv.i3.n35,0f28f27765b8678f8106c6bb,3,13,4,1.0,5,10777,149
vs20.kv.i3.n35,2d1611f1cdc500124e2a1663,3,13,4,0.957746478873,5,10777,142
ovs16.r2.i3.n03,731b87eb1d62e84302920efa,200,4,3,1.0,1,1773,1
vs20.kv.i4.n138,a3aa1aca7b49512f44cab382,4,7,2,0.955696202532,1,9641,158
vs20.kv.i4.n139,c4062d9382581732079e5886,4,7,2,0.97385620915,1,9640,153
vis16.r2.i2.n02,c6cf28360165bcef396809d4,200,4,3,1.0,1,2089,1
vs20.kv.i4.n194,f20bc29ebe2b70089760c3fd,2,11,2,1.0,2,9733,152
vs20.kv.i4.n194,150aec3a78a9943b6ae9d48e,2,11,2,0.993464052288,2,9733,153
vis14.r1.i4.n08a,02262de53b229c7746a53de8,0,11,4,0.941176470588,1,9736,153
vs20.kv.i4.n132,0b6aec352b3d8cf4938456f8,13,7,3,0.878571428571,1,8606,140
vs20.kv.i4.n133,8519c488b12497242b96ea40,2,7,3,0.910828025478,1,8605,157
vs20.kv.i4.n134,fa9517a0706e73c2498f1266,11,7,3,0.814569536424,1,8604,151
vs20.kv.i4.n135,012dcd098280b5bc6696cd13,130,7,4,0.367346938776,1,9637,49
vs20.kv.i4.n136,913f43af77223f6a4500cfa2,1,7,2,0.981132075472,1,9639,159
vs20.kv.i4.n137,dcd82f8dea83892ae9f02af6,6,7,2,0.898734177215,1,9642,158
vis17.r3.i2.n05,15ef61a1fada37f5163c9b47,200,4,4,1.0,1,2047,1
vs20.kv.i1.n23a,cdb10864528fc8d8320abfc6,202,7,6,0,1,9647,0
vs20.kv.i2.n17,5c9b3fdface3887e73c71103,4,7,3,0.898089171975,1,8615,157
ovs17.r1.i3.n03,e6d084a86196235fbfcceb4d,49,4,1,0.911897590361,1,1756,166
vis16.r2.i2.n10,62798080b3b21110447c8680,1,4,4,0.89156626506,1,2081,166
vs20.kv.i4.n105,88406d856054c94b4479b5b2,5,6,3,0.889570552147,1,8557,163
vs20.kv.i4.n104,e1732f26d4d0b1c076d9f531,3,6,3,0.962962962963,1,8558,162
vs20.kv.i4.n107,cedb4e53d73c834c22ea1713,1,6,3,0.876543209877,1,8555,162
vs20.kv.i4.n106,de4e28dcd827d63fdaa6ba03,2,6,3,0.889570552147,1,8556,163
vs20.kv.i4.n101,fc650a36ff9335448c38d13e,4,6,2,0.939024390244,1,8561,164
vs20.kv.i4.n100,8bbed39f13220a7307434bb9,1,6,2,0.938650306748,1,8562,163
vs20.kv.i4.n103,9e2a3b5283ec4e4389e92a7b,1,6,3,0.813664596273,1,8559,161
vs20.kv.i4.n102,e511f0a08543825cee0ab4ed,1,6,3,0.900621118012,1,8560,161
vs20.kv.i2.n12,f5980090b8b7da03ace577f2,7,4,1,0.770833333333,1,8515,96
vs20.kv.i2.n10,5b44a191bc022ce0d389a60a,16,4,1,0.168831168831,1,8517,154
vs20.kv.i4.n109,b6929f85917d364f63fa3b8f,6,6,3,0.881355932203,1,8553,118
vs20.kv.i4.n108,628d403b3d109a318624e7ff,5,6,3,0.905511811024,1,8554,127
vs20.kv.i3.n28,424dc0ffa840814642c7b01b,4,7,3,0.892515923567,1,8614,157
vs20.kv.i3.n29,be65a202032318f33114cac1,3,9,3,0.961038961039,1,9719,154
vs20.kv.i4.n189,42cfd2b522ee091fe24ef17a,3,9,4,0.847133757962,1,9722,157
vs20.kv.i4.n188,faec9834cdb677ea11e0b1f9,2,9,4,0.962264150943,1,9723,159
vs20.kv.i4.n185,cdcef5a48f028221f6e3d9ff,0,9,3,0.962025316456,1,9726,158
vs20.kv.i4.n184,4406d143fa9bf861a5abf08b,4,9,3,0.84076433121,1,9727,157
vs20.kv.i4.n187,45be0a6b74486c127096c333,4,9,4,0.918238993711,1,9724,159
vs20.kv.i4.n186,0c09d5e29f040ba71fad5d91,92,9,4,0.18064516129,1,9725,155
vs20.kv.i3.n27,ed950b92b3628a4d142a10f4,9,7,3,0.927419354839,1,8607,155
vis16.r2.i4.n02a,c8bda1db3e4a07f4cbe70e70,111,4,4,0.817073170732,1,8284,164
ovs19.r2.i3.n01,50a7984656cbf7ba7fd2b01d,110,3,2,0.859375,1,3064,160
vs20.kv.i2.n09,1903fb928dfe45a75902c983,10,4,2,0.38064516129,1,8518,155
vs20.kv.i2.n08,fdc8ccfc85ed16af3b1553dd,3,4,1,0.483443708609,1,8519,151
vs20.kv.i4.n110,d2dfabef1c08c224286f9a6a,4,6,3,0.93125,1,8567,160
vs20.kv.i4.n81,02719306ebf990834cf4b33e,172,4,4,-0.153846153846,1,8525,26
vs20.kv.i4.n80,8dff043f5ed2b7456a8797c7,6,4,3,0.95652173913,1,8510,161
vs20.kv.i2.n03,0c47bed9c442e693ca9dc609,1,4,1,0.828220858896,1,8509,163
vs20.kv.i2.n02,b0114e8b9041b06b838188ab,3,4,1,0.705521472393,1,8514,163
vs20.kv.i2.n05,e62d8e3438c73eac61bfcf02,2,4,3,0.673469387755,1,8522,147
vs20.kv.i2.n04,adf7be8214c3c350bb2e11a9,1,4,3,0.779220779221,1,8523,154
vs20.kv.i2.n07,0c93fbd36947698711464520,1,4,1,0.559748427673,1,8520,159
vs20.kv.i2.n06,4e56ef783ae5ee1a5f46e62e,200,4,3,0.448275862069,1,8521,145
vs20.kv.i3.n39,7e75965a00919f0896d6ccd7,0,12,2,0.955,1,10773,150
vs20.kv.i3.n38,0f602c00984ec06145fe0f48,0,12,2,0.977348993289,1,10774,149
vs20.kv.i3.n30,341570b2003d1ae1825b8c0b,53,11,6,0.977649006623,7,9731,151
vs20.kv.i3.n30,4aca27423e578ee652df9948,53,11,6,0.985197368421,7,9731,152
vs20.kv.i3.n30,b1d5d018c145cc14203b2267,53,11,6,0.925925925926,7,9731,135
vs20.kv.i3.n30,f56a2d243da6838ddf4ae0d4,53,11,6,0.119402985075,7,9731,134
vs20.kv.i3.n30,95ffa8e7f53fad9a0c97720f,53,11,6,0.0168067226891,7,9731,119
vs20.kv.i3.n30,9f6e0bf0c3ba1f5bc1a89a8a,53,11,6,0,7,9731,0
vs20.kv.i3.n30,c6e56c3aec559c3ae208622a,53,11,6,0,7,9731,0
vs20.kv.i3.n33,b4f3cede9e0eb51d0fd32b64,1,12,4,0.992549668874,2,10767,151
vs20.kv.i3.n33,bceeb05b0b0b77a5e5e82cba,1,12,4,0.875,2,10767,144
vs20.kv.i4.n191,79106a17c6ccb9786221a298,156,9,4,0.0757575757576,1,9720,132
vs20.kv.i4.n196,81fb2a000ada19a05a994e46,162,12,4,0.0597014925373,1,10766,134
vs20.kv.i3.n34,52053560b5e80842234474cb,0,12,3,0.9925,1,10765,150
vs20.kv.i3.n37,4ed52f814171067c80313e5c,4,12,3,0.962248322148,1,10775,149
vs20.kv.i3.n36,c49fc20b8eb58059a7382314,7,13,4,1.0,5,10776,149
vs20.kv.i3.n36,53227f9992249a8fe55b661a,7,13,4,0.923986486486,5,10776,148
vs20.kv.i3.n36,ca9635e82781ce12efd9b43e,7,13,4,0.944827586207,5,10776,145
